Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
학위논문제출자격시험 합격자 발표,2022-11-07,,2022-11-07,,TRUE,,,TRUE
2학기 수업일수 2/3선(군입대 성적),2022-11-11,,2022-11-11,,TRUE,,,TRUE
제1차 졸업종합시험 합격자 발표(대학),2022-11-11,,2022-11-11,,TRUE,,,TRUE
2023학년도 대학수학능력시험,2022-11-17,,2022-11-17,,TRUE,,,TRUE
2학기 수업일수 3/4선,2022-11-21,,2022-11-21,,TRUE,,,TRUE
2023학년도 수시 논술고사,2022-11-21,,2022-11-21,,TRUE,,,TRUE
2023학년도 수시 면접고사,2022-11-26,,2022-11-28,,TRUE,,,TRUE
2023학년도 수시모집 합격자 발표,2022-12-15,,2022-12-15,,TRUE,,,TRUE
2학기 종강,2022-12-16,,2022-12-16,,TRUE,,,TRUE
2학기 성적입력 기간,2022-12-16,,2022-12-22,,TRUE,,,TRUE
2022학년도 동계 계절학기[미래융합대학:겨울학기](대학)(일정 별도 공고),2022-12-19,,2023-01-28,,TRUE,,,TRUE
2023학년도 1학기 타 대학교 학점교류 신청(일정 변경 공고),2022-12-19,,2023-03-01,,TRUE,,,TRUE
2학기 성적정정 기간,2022-12-22,,2022-12-24,,TRUE,,,TRUE
2023학년도 1학기 부전공 및 복수전공 신청(대학),2022-12-26,,2022-12-29,,TRUE,,,TRUE
2023학년도 신입학 정시모집 원서접수,2022-12-29,,2023-01-03,,TRUE,,,TRUE
