Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
학위논문제출자격시험 합격자 발표,2022-11-07,,2022-11-07,,TRUE,,,TRUE
2학기 수업일수 2/3선(군입대 성적),2022-11-11,,2022-11-11,,TRUE,,,TRUE
제1차 졸업종합시험 합격자 발표(대학),2022-11-11,,2022-11-11,,TRUE,,,TRUE
2022학년도 전기 학위논문심사예정자 등록 및 논문심사위원 추천,2022-11-14,,2022-11-19,,TRUE,,,TRUE
2학기 수업일수 3/4선,2022-11-21,,2022-11-21,,TRUE,,,TRUE
학위논문 심사(대학원),2022-11-28,,2022-12-17,,TRUE,,,TRUE
2023학년도 전기 대학원 면접 및 구술고사(대학원),2022-12-02,,2022-12-04,,TRUE,,,TRUE
2학기 종강,2022-12-16,,2022-12-16,,TRUE,,,TRUE
2023학년도 전기 대학원 신입생 합격자발표(대학원),2022-12-16,,2022-12-16,,TRUE,,,TRUE
학위논문심사결과 제출(대학원),2022-12-19,,2022-12-19,,TRUE,,,TRUE
2023학년도 1학기 타 대학교 학점교류 신청(일정 변경 공고),2022-12-19,,2023-03-01,,TRUE,,,TRUE
2학기 성적정정 기간,2022-12-22,,2022-12-24,,TRUE,,,TRUE
2023학년도 1학기 학·석사연계과정 이수예정자 모집공고(예정)(대학원),2022-12-26,,2022-12-31,,TRUE,,,TRUE
